Application Number,CSI Project Tilt
SD-CSI-15466,25
SD-CSI-20863,25
SD-CSI-05571,24
SD-CSI-20798,21
SD-CSI-02356,20
SD-CSI-10170,13
SD-CSI-08253,18
SD-CSI-14988,18
SD-CSI-13992,17
SD-CSI-08705,15
SD-CSI-20532,15
SD-CSI-04163,22
SD-CSI-18063,26
SD-CSI-08724,24
SD-CSI-00096,30
SD-CSI-00724,19
SD-CSI-09952,18
SD-CSI-16195,18
SD-CSI-12784,17
SD-CSI-06083,10
SD-CSI-12325,18
SD-CSI-14452,30
SD-CSI-12783,30
SD-CSI-14844,19
SD-CSI-11359,15
SD-CSI-07175,24
SD-CSI-21380,18
SD-CSI-09293,22
SD-CSI-06853,18
SD-CSI-21060,20
SD-CSI-01581,22
SD-CSI-10564,23
SD-CSI-06276,7
SD-CSI-10370,32
SD-CSI-07878,27
SD-CSI-04178,15
SD-CSI-08402,25
SD-CSI-03912,30
SD-CSI-07523,22
SD-CSI-11606,15
SD-CSI-09062,20
SD-CSI-19898,18
SD-CSI-08287,18
SD-CSI-12794,22
SD-CSI-08283,18
SD-CSI-12979,30
SD-CSI-08284,18
SD-CSI-14500,16
SD-CSI-17383,18
SD-CSI-15195,30
SD-CSI-13514,24
SD-CSI-13155,17
SD-CSI-06891,18
SD-CSI-07548,10
SD-CSI-14062,21
SD-CSI-13553,15
SD-CSI-18126,30
SD-CSI-08759,22
SD-CSI-02013,31
SD-CSI-17375,30
SD-CSI-20370,18
SD-CSI-02556,12
SD-CSI-21063,20
SD-CSI-13668,22
SD-CSI-10235,24
SD-CSI-10225,10
SD-CSI-03578,15
SD-CSI-04542,15
SD-CSI-14739,20
SD-CSI-18136,25
SD-CSI-17395,18
SD-CSI-17217,30
SD-CSI-06293,18
SD-CSI-21066,20
SD-CSI-07943,15
SD-CSI-08324,27
SD-CSI-12653,5
SD-CSI-20381,24
SD-CSI-11397,23
SD-CSI-07575,15
SD-CSI-10597,26
SD-CSI-06296,24
SD-CSI-19042,15
SD-CSI-13957,19
SD-CSI-05328,18
SD-CSI-08043,20
SD-CSI-07753,17
SD-CSI-06147,27
SD-CSI-05664,20
SD-CSI-03593,18
SD-CSI-12223,22
SD-CSI-03370,12
SD-CSI-08338,20
SD-CSI-05639,31
SD-CSI-00758,30
SD-CSI-07968,9
SD-CSI-14266,19
SD-CSI-10257,18
SD-CSI-16960,17
SD-CSI-12161,20
SD-CSI-15238,15
SD-CSI-13355,15
SD-CSI-03986,19
SD-CSI-04220,18
SD-CSI-09622,18
SD-CSI-13190,17
SD-CSI-10278,23
SD-CSI-10868,18
SD-CSI-05153,20
SD-CSI-03996,15
SD-CSI-17069,17
SD-CSI-01298,18
SD-CSI-01624,1
SD-CSI-07975,15
SD-CSI-06941,19
SD-CSI-16306,23
SD-CSI-04122,23
SD-CSI-17774,20
SD-CSI-16308,15
SD-CSI-17237,19
SD-CSI-05164,18
SD-CSI-12413,18
SD-CSI-03998,15
SD-CSI-05745,14
SD-CSI-20667,23
SD-CSI-12861,20
SD-CSI-10302,14
SD-CSI-10299,18
SD-CSI-10616,18
SD-CSI-18761,18
SD-CSI-04037,21
SD-CSI-04944,20
SD-CSI-12268,18
SD-CSI-21660,30
SD-CSI-04596,20
SD-CSI-19788,18
SD-CSI-00533,12
SD-CSI-05672,20
SD-CSI-05662,20
SD-CSI-09365,14
SD-CSI-13889,10
SD-CSI-10310,22
SD-CSI-07273,20
SD-CSI-06128,30
SD-CSI-16178,18
SD-CSI-15666,18
SD-CSI-02825,15
SD-CSI-08016,19
SD-CSI-11304,15
SD-CSI-08019,20
SD-CSI-05836,30
SD-CSI-08018,30
SD-CSI-12152,30
SD-CSI-10484,18
SD-CSI-10886,22
SD-CSI-20019,21
SD-CSI-02413,25
SD-CSI-17044,23
SD-CSI-11101,45
SD-CSI-14124,22
SD-CSI-10847,22
SD-CSI-21415,20
SD-CSI-18232,22
SD-CSI-03698,15
SD-CSI-13944,18
SD-CSI-07385,20
SD-CSI-12004,13
SD-CSI-10632,18
SD-CSI-08051,19
SD-CSI-05695,21
SD-CSI-10634,22
SD-CSI-01638,15
SD-CSI-17488,17
SD-CSI-19119,17
SD-CSI-10365,19
SD-CSI-07317,20
SD-CSI-10898,11
SD-CSI-11740,30
SD-CSI-08906,23
SD-CSI-07320,18
SD-CSI-09404,14
SD-CSI-12456,17
SD-CSI-10716,17
SD-CSI-10641,25
SD-CSI-18823,22
SD-CSI-10900,17
SD-CSI-13238,23
SD-CSI-09771,20
SD-CSI-08427,20
SD-CSI-13736,25
SD-CSI-17511,18
SD-CSI-07336,20
SD-CSI-05712,18
SD-CSI-18262,21
SD-CSI-19134,15
SD-CSI-04105,17
SD-CSI-06167,27
SD-CSI-08091,25
SD-CSI-10390,15
SD-CSI-06353,18
SD-CSI-08171,70
SD-CSI-05282,18
SD-CSI-17818,23
SD-CSI-06183,23
SD-CSI-14211,17
SD-CSI-11834,15
SD-CSI-00782,20
SD-CSI-08100,13
SD-CSI-05869,30
SD-CSI-12238,23
SD-CSI-08558,15
SD-CSI-09190,25
SD-CSI-03811,22
SD-CSI-09881,19
SD-CSI-11788,23
SD-CSI-18867,23
SD-CSI-08129,18
SD-CSI-08475,10
SD-CSI-08128,0
SD-CSI-11142,18
SD-CSI-08131,14
SD-CSI-08132,15
SD-CSI-01477,20
SD-CSI-07375,22
SD-CSI-17972,17
SD-CSI-03813,17
SD-CSI-10945,17
SD-CSI-06620,30
SD-CSI-21702,14
SD-CSI-10982,14
SD-CSI-21822,15
SD-CSI-15392,21
SD-CSI-21891,5
SD-CSI-09768,19
SD-CSI-21857,30
SD-CSI-03760,18
SD-CSI-21739,22
SD-CSI-21255,23
SD-CSI-21780,20
SD-CSI-16772,22
SD-CSI-02774,17
SD-CSI-16127,21
SD-CSI-04600,17
SD-CSI-00210,30
SD-CSI-05173,22
SD-CSI-21872,30
SD-CSI-03472,23
SD-CSI-22066,20
SD-CSI-02195,23
SD-CSI-17575,18
SD-CSI-07064,18
SD-CSI-08982,18
SD-CSI-17981,17
SD-CSI-18541,30
SD-CSI-04384,14
SD-CSI-18939,18
SD-CSI-18874,27
SD-CSI-18609,20
SD-CSI-19959,23
SD-CSI-20689,18
SD-CSI-20929,18
SD-CSI-21339,20
SD-CSI-21667,17
SD-CSI-15814,20
SD-CSI-15062,8
SD-CSI-15122,14
SD-CSI-11153,30
SD-CSI-22337,20
SD-CSI-07418,27
SD-CSI-08182,13
SD-CSI-15419,20
SD-CSI-12614,22
SD-CSI-13290,20
SD-CSI-12739,18
SD-CSI-11864,16
SD-CSI-10761,14
SD-CSI-17171,18
SD-CSI-01106,17
SD-CSI-14384,22
SD-CSI-01598,20
SD-CSI-14974,4
SD-CSI-06246,24
SD-CSI-14144,18
SD-CSI-08223,22
SD-CSI-20270,17
SD-CSI-07457,14
SD-CSI-14388,22
SD-CSI-12565,16
SD-CSI-18584,20
SD-CSI-14823,18
SD-CSI-16041,22
SD-CSI-21573,18
SD-CSI-07823,23
SD-CSI-19694,20
SD-CSI-14418,19
SD-CSI-06833,19
SD-CSI-18172,15
SD-CSI-10956,5
SD-CSI-12770,20
SD-CSI-03290,22
SD-CSI-12087,22
SD-CSI-04505,18
SD-CSI-14239,23
SD-CSI-17811,20
SD-CSI-07919,17
SD-CSI-15063,17
SD-CSI-06677,17
SD-CSI-07163,21
SD-CSI-20280,18
SD-CSI-06269,30
SD-CSI-01379,20
SD-CSI-15662,22
SD-CSI-00603,18
SD-CSI-11910,19
SD-CSI-20558,14
SD-CSI-15881,18
SD-CSI-12972,18
SD-CSI-09697,17
SD-CSI-14460,11
SD-CSI-16234,19
SD-CSI-03170,16
SD-CSI-16940,23
SD-CSI-13144,22
SD-CSI-20109,18
SD-CSI-06527,18
SD-CSI-15516,17
SD-CSI-09300,22
SD-CSI-06883,42
SD-CSI-13760,16
SD-CSI-14046,17
SD-CSI-06901,25
SD-CSI-19496,18
SD-CSI-02379,18
SD-CSI-21290,18
SD-CSI-19004,18
SD-CSI-13524,10
SD-CSI-07556,18
SD-CSI-07916,5
SD-CSI-16252,18
SD-CSI-21369,18
SD-CSI-02220,10
SD-CSI-15541,13
SD-CSI-17386,20
SD-CSI-11227,16
SD-CSI-01843,15
SD-CSI-20876,20
SD-CSI-20137,21
SD-CSI-10589,10
SD-CSI-05619,17
SD-CSI-18153,19
SD-CSI-16999,16
SD-CSI-10829,18
SD-CSI-12652,9
SD-CSI-07952,22
SD-CSI-14325,18
SD-CSI-11951,18
SD-CSI-11391,18
SD-CSI-12354,18
SD-CSI-05177,30
SD-CSI-11152,22
SD-CSI-11965,35
SD-CSI-14793,22
SD-CSI-12338,20
SD-CSI-10629,31
SD-CSI-17026,11
SD-CSI-04849,10
SD-CSI-14083,18
SD-CSI-17032,16
SD-CSI-03205,26
SD-CSI-20656,17
SD-CSI-03983,22
SD-CSI-07251,22
SD-CSI-20388,15
SD-CSI-08369,10
SD-CSI-06308,25
SD-CSI-13405,18
SD-CSI-13701,19
SD-CSI-10298,22
SD-CSI-07990,17
SD-CSI-11098,16
SD-CSI-10875,18
SD-CSI-17074,18
SD-CSI-15297,19
SD-CSI-10017,18
SD-CSI-08147,24
SD-CSI-14631,24
SD-CSI-16592,25
SD-CSI-05449,2
SD-CSI-16646,18
SD-CSI-10004,10
SD-CSI-02827,18
SD-CSI-04031,19
SD-CSI-10091,24
SD-CSI-15051,15
SD-CSI-20580,13
SD-CSI-02293,22
SD-CSI-06134,17
SD-CSI-08875,12
SD-CSI-08022,20
SD-CSI-18417,12
SD-CSI-05462,24
SD-CSI-21526,16
SD-CSI-04255,17
SD-CSI-12273,18
SD-CSI-20331,13
SD-CSI-16169,22
SD-CSI-14136,19
SD-CSI-19234,20
SD-CSI-17128,25
SD-CSI-20725,15
SD-CSI-21469,20
SD-CSI-03591,19
SD-CSI-03437,19
SD-CSI-01771,20
SD-CSI-18245,26
SD-CSI-14708,18
SD-CSI-13714,16
SD-CSI-18819,17
SD-CSI-09173,17
SD-CSI-14950,10
SD-CSI-07684,23
SD-CSI-02438,18
SD-CSI-17165,19
SD-CSI-18826,21
SD-CSI-14292,23
SD-CSI-07698,23
SD-CSI-06349,18
SD-CSI-05495,30
SD-CSI-21532,18
SD-CSI-15742,18
SD-CSI-20174,18
SD-CSI-10392,19
SD-CSI-05285,17
SD-CSI-11650,19
SD-CSI-05290,30
SD-CSI-21438,15
SD-CSI-16390,30
SD-CSI-10917,21
SD-CSI-13033,90
SD-CSI-08113,15
SD-CSI-04088,17
SD-CSI-19151,16
SD-CSI-16423,30
SD-CSI-01639,16
SD-CSI-17545,18
SD-CSI-08959,22
SD-CSI-09784,18
SD-CSI-16458,18
SD-CSI-09879,19
SD-CSI-10944,18
SD-CSI-12458,22
SD-CSI-17555,18
SD-CSI-19141,16
SD-CSI-08150,15
SD-CSI-14781,20
SD-CSI-05311,17
SD-CSI-22104,15
SD-CSI-10751,25
SD-CSI-02051,18
SD-CSI-15347,18
SD-CSI-15169,18
SD-CSI-04987,20
SD-CSI-08877,18
SD-CSI-08032,17
SD-CSI-14712,14
SD-CSI-13019,17
SD-CSI-04686,18
SD-CSI-12831,12
SD-CSI-11706,25
SD-CSI-11331,10
SD-CSI-03628,18
SD-CSI-21571,8
SD-CSI-00568,20
SD-CSI-01623,18
SD-CSI-09688,20
SD-CSI-10750,30
SD-CSI-09046,15
SD-CSI-20860,14
SD-CSI-05654,17
SD-CSI-10612,16
SD-CSI-15963,15
SD-CSI-09756,18
SD-CSI-11428,17
SD-CSI-10103,18
SD-CSI-10749,25
SD-CSI-22276,20
SD-CSI-12177,17
SD-CSI-01977,17
SD-CSI-03562,30
SD-CSI-05550,22
SD-CSI-05951,18
SD-CSI-04153,17
SD-CSI-07201,24
SD-CSI-03224,18
SD-CSI-09845,25
SD-CSI-21952,20
SD-CSI-07013,17
SD-CSI-22159,23
SD-CSI-18903,17
SD-CSI-22182,17
SD-CSI-15394,15
SD-CSI-22023,17
SD-CSI-00008,20
SD-CSI-03268,18
SD-CSI-13054,20
SD-CSI-02768,21
SD-CSI-01279,18
SD-CSI-04823,5
SD-CSI-18550,20
SD-CSI-08535,19
SD-CSI-09004,23
SD-CSI-21671,20
SD-CSI-10511,18
SD-CSI-11566,26
SD-CSI-02624,18
SD-CSI-17338,23
SD-CSI-13039,9
SD-CSI-11550,21
SD-CSI-12065,21
SD-CSI-12360,18
SD-CSI-16068,18
SD-CSI-03455,18
SD-CSI-18913,22
SD-CSI-15812,19
SD-CSI-17998,18
SD-CSI-18888,22
SD-CSI-18808,17
SD-CSI-21014,18
SD-CSI-21188,18
SD-CSI-22278,48
SD-CSI-15613,16
SD-CSI-13078,18
SD-CSI-17593,21
SD-CSI-08932,23
SD-CSI-12731,18
SD-CSI-07770,18
SD-CSI-07804,18
SD-CSI-00186,30
SD-CSI-03861,26
SD-CSI-08987,19
SD-CSI-00377,12
SD-CSI-21010,0
SD-CSI-21012,16
SD-CSI-00029,30
SD-CSI-10528,22
SD-CSI-11329,23
SD-CSI-19518,20
SD-CSI-07794,20
SD-CSI-09254,24
SD-CSI-01734,12
SD-CSI-14975,17
SD-CSI-18937,17
SD-CSI-05743,17
SD-CSI-06667,0
SD-CSI-10554,23
SD-CSI-11014,27
SD-CSI-10142,16
SD-CSI-01072,15
SD-CSI-01531,22
SD-CSI-22363,1
SD-CSI-03134,30
SD-CSI-18034,18
SD-CSI-17300,10
SD-CSI-18945,22
SD-CSI-06415,20
SD-CSI-05970,22
SD-CSI-14398,22
SD-CSI-18918,25
SD-CSI-18948,17
SD-CSI-18569,14
SD-CSI-02348,15
SD-CSI-17308,18
SD-CSI-07475,23
SD-CSI-10542,19
SD-CSI-11020,20
SD-CSI-00227,30
SD-CSI-18059,18
SD-CSI-21458,10
SD-CSI-21250,14
SD-CSI-22382,30
SD-CSI-06795,30
SD-CSI-17347,5
SD-CSI-10908,18
SD-CSI-21596,18
SD-CSI-10207,24
SD-CSI-06773,18
SD-CSI-02922,9
SD-CSI-05064,18
SD-CSI-12551,18
SD-CSI-16900,14
SD-CSI-12945,20
SD-CSI-10456,22
SD-CSI-10558,27
SD-CSI-19477,23
SD-CSI-12093,23
SD-CSI-01542,14
SD-CSI-02738,23
SD-CSI-15514,23
SD-CSI-02327,18
SD-CSI-15504,25
SD-CSI-03401,17
SD-CSI-06686,30
SD-CSI-18098,19
SD-CSI-08616,23
SD-CSI-14252,20
SD-CSI-07895,23
SD-CSI-16949,17
SD-CSI-03171,18
SD-CSI-16952,18
SD-CSI-12812,23
SD-CSI-03933,17
SD-CSI-14509,23
SD-CSI-02585,14
SD-CSI-07915,5
SD-CSI-07917,5
SD-CSI-15557,18
SD-CSI-18128,25
SD-CSI-02563,19
SD-CSI-04817,5
SD-CSI-03585,30
SD-CSI-08328,20
SD-CSI-21249,17
SD-CSI-15603,18
SD-CSI-07597,19
SD-CSI-04051,18
SD-CSI-08656,20
SD-CSI-10980,10
SD-CSI-05646,17
SD-CSI-11457,19
SD-CSI-06094,11
SD-CSI-20649,21
SD-CSI-04582,18
SD-CSI-01222,30
SD-CSI-17680,5
SD-CSI-17436,18
SD-CSI-11092,27
SD-CSI-14587,23
SD-CSI-03423,17
SD-CSI-05162,20
SD-CSI-18735,16
SD-CSI-11083,16
SD-CSI-03443,15
SD-CSI-08545,18
SD-CSI-06947,30
SD-CSI-12278,19
SD-CSI-18348,20
SD-CSI-18343,30
SD-CSI-05170,22
SD-CSI-12667,14
SD-CSI-06951,15
SD-CSI-09732,25
SD-CSI-06970,15
SD-CSI-13251,8
SD-CSI-15962,18
SD-CSI-07632,18
SD-CSI-01230,30
SD-CSI-10967,20
SD-CSI-20183,18
SD-CSI-10972,18
SD-CSI-18765,15
SD-CSI-10873,17
SD-CSI-08385,19
SD-CSI-06959,10
SD-CSI-10971,18
SD-CSI-06960,15
SD-CSI-10316,25
SD-CSI-06967,15
SD-CSI-10876,21
SD-CSI-14642,15
SD-CSI-11990,17
SD-CSI-15981,5
SD-CSI-01698,25
SD-CSI-10894,11
SD-CSI-11259,18
SD-CSI-22240,20
SD-CSI-15988,10
SD-CSI-06972,15
SD-CSI-10326,18
SD-CSI-02836,26
SD-CSI-14798,18
SD-CSI-15991,5
SD-CSI-21382,18
SD-CSI-10719,22
SD-CSI-04955,30
SD-CSI-20440,18
SD-CSI-09653,23
SD-CSI-08071,10
SD-CSI-07035,18
SD-CSI-11908,19
SD-CSI-01719,20
SD-CSI-14697,24
SD-CSI-21423,21
SD-CSI-11280,18
SD-CSI-01995,15
SD-CSI-06576,30
SD-CSI-10049,18
SD-CSI-16383,18
SD-CSI-12422,27
SD-CSI-03807,18
SD-CSI-20749,15
SD-CSI-02885,8
SD-CSI-15366,18
SD-CSI-22237,7
SD-CSI-17175,22
SD-CSI-22280,18
SD-CSI-04348,23
SD-CSI-12021,18
SD-CSI-12597,19
SD-CSI-08633,14
SD-CSI-19834,22
SD-CSI-06598,15
SD-CSI-00360,18
SD-CSI-21340,18
SD-CSI-06184,19
SD-CSI-10405,11
SD-CSI-12924,12
SD-CSI-14941,22
SD-CSI-05529,18
SD-CSI-20950,18
SD-CSI-19155,22
SD-CSI-10926,8
SD-CSI-19159,21
SD-CSI-19167,23
SD-CSI-01482,15
SD-CSI-00987,15
SD-CSI-10504,20
SD-CSI-08962,18
SD-CSI-16451,24
SD-CSI-21770,8
SD-CSI-00097,30
SD-CSI-21802,30
SD-CSI-13631,12
SD-CSI-22107,30
SD-CSI-20954,5
SD-CSI-08070,10
SD-CSI-17873,3
SD-CSI-02655,20
SD-CSI-09463,17
SD-CSI-20456,18
SD-CSI-20342,30
SD-CSI-19353,17
SD-MASH-00001,10
SD-CSI-17952,18
SD-CSI-17916,18
SD-CSI-22333,10
SD-CSI-10120,20
SD-CSI-05918,17
SD-CSI-18446,17
SD-CSI-02694,18
SD-CSI-21554,18
SD-CSI-21199,18
SD-CSI-14265,15
SD-CSI-18311,21
SD-CSI-16158,30
SD-CSI-00183,30
SD-CSI-16130,18
SD-CSI-12192,26
SD-CSI-15456,18
SD-CSI-13393,23
SD-CSI-21261,18
SD-CSI-00056,30
SD-CSI-08515,10
SD-CSI-07488,22
SD-CSI-02515,20
SD-CSI-02512,17
SD-CSI-00222,10
SD-CSI-15783,30
SD-CSI-16475,30
SD-CSI-07150,21
SD-CSI-15474,17
SD-CSI-04824,23
SD-CSI-03368,25
SD-CSI-05580,19
SD-MASH-00025,10
SD-CSI-18887,17
SD-CSI-15487,22
SD-CSI-18986,22
SD-CSI-15145,18
SD-CSI-06005,20
SD-CSI-16909,18
SD-CSI-21049,18
SD-CSI-02537,10
SD-CSI-21166,14
SD-CSI-16918,21
SD-CSI-03475,22
SD-CSI-08404,15
SD-CSI-10910,11
SD-CSI-19720,30
SD-CSI-11370,18
SD-CSI-19482,18
SD-CSI-04185,20
SD-CSI-19012,22
SD-CSI-03071,18
SD-CSI-08744,20
SD-CSI-10570,15
SD-CSI-14256,17
SD-CSI-09325,20
SD-CSI-09079,15
SD-CSI-07912,5
SD-CSI-20120,18
SD-CSI-19735,10
SD-CSI-06049,18
SD-CSI-16275,25
SD-CSI-09524,19
SD-CSI-01797,18
SD-CSI-16284,34
SD-CSI-18338,18
SD-CSI-13559,14
SD-CSI-04819,5
SD-CSI-04362,16
SD-CSI-00010,20
SD-CSI-22411,5
SD-CSI-21545,14
SD-CSI-16411,18
SD-CSI-04826,7
SD-CSI-17414,5
SD-CSI-14267,37
SD-CSI-03322,15
SD-CSI-05432,30
SD-CSI-15608,18
SD-CSI-18173,20
SD-CSI-19063,22
SD-CSI-01219,30
SD-CSI-03212,16
SD-CSI-16645,23
SD-CSI-05157,21
SD-CSI-16929,30
SD-CSI-15259,17
SD-CSI-20162,23
SD-CSI-17060,18
SD-CSI-09355,12
SD-CSI-00904,10
SD-CSI-11312,11
SD-CSI-13331,20
SD-CSI-20398,30
SD-CSI-15664,10
SD-CSI-17087,9
SD-CSI-06961,10
SD-CSI-17091,23
SD-CSI-10970,18
SD-CSI-06965,10
SD-CSI-02993,17
SD-CSI-06971,15
SD-CSI-10378,3
SD-CSI-03544,7
SD-CSI-06984,18
SD-CSI-00172,30
SD-CSI-12703,18
SD-CSI-08563,22
SD-CSI-06551,19
SD-CSI-04638,25
SD-CSI-01453,4
SD-CSI-15319,10
SD-CSI-08413,14
SD-CSI-04367,0
SD-CSI-10401,18
SD-CSI-10054,10
SD-CSI-05487,20
SD-CSI-10062,15
SD-CSI-14157,10
SD-CSI-18838,23
SD-CSI-18833,20
SD-CSI-09186,19
SD-CSI-19624,20
SD-CSI-19246,18
SD-CSI-00017,20
SD-CSI-02861,2
SD-CSI-04897,14
SD-CSI-04901,30
SD-CSI-17206,19
SD-CSI-14181,29
SD-CSI-16557,33
SD-CSI-13492,15
SD-CSI-11302,14
SD-CSI-21697,20
SD-CSI-22004,17
SD-CSI-17980,18
SD-CSI-21934,19
SD-CSI-18897,18
SD-CSI-21843,17
SD-CSI-17199,30
SD-CSI-21828,17
SD-CSI-13770,22
SD-CSI-21824,19
SD-CSI-18395,18
SD-CSI-22134,26
SD-CSI-19195,14
SD-CSI-17876,17
SD-CSI-11679,30
SD-CSI-08625,19
SD-CSI-19321,14
SD-CSI-15193,18
SD-CSI-13243,18
SD-CSI-18921,17
SD-CSI-02481,19
SD-CSI-19144,18
SD-CSI-15424,16
SD-CSI-20994,20
SD-CSI-03114,23
SD-CSI-08673,23
SD-CSI-09924,18
SD-CSI-08672,24
SD-CSI-16128,13
SD-CSI-18185,21
SD-CSI-14395,26
SD-CSI-21491,19
SD-CSI-19584,17
SD-CSI-15123,14
SD-CSI-14400,10
SD-CSI-18950,17
SD-CSI-16173,18
SD-CSI-11016,19
SD-CSI-15409,13
SD-CSI-19445,17
SD-CSI-19446,17
SD-CSI-21252,18
SD-CSI-16177,26
SD-CSI-16601,17
SD-CSI-03293,19
SD-CSI-15143,23
SD-CSI-19451,17
SD-CSI-18392,22
SD-CSI-18984,16
SD-CSI-19462,17
SD-CSI-15235,23
SD-CSI-10792,23
SD-CSI-13138,17
SD-CSI-19711,18
SD-CSI-06856,30
SD-CSI-20554,15
SD-CSI-08272,20
SD-CSI-08271,20
SD-CSI-14406,18
SD-CSI-18628,18
SD-CSI-13532,20
SD-CSI-18647,17
SD-CSI-00998,18
SD-CSI-18129,16
SD-CSI-09965,19
SD-CSI-00257,30
SD-CSI-10952,23
SD-CSI-20128,20
SD-CSI-13422,17
SD-CSI-09318,18
SD-CSI-15208,18
SD-CSI-12984,18
SD-CSI-14992,17
SD-CSI-18124,25
SD-CSI-18233,19
SD-CSI-14860,22
SD-CSI-07572,15
SD-CSI-11221,27
SD-CSI-19512,21
SD-CSI-18690,17
SD-CSI-05620,17
SD-CSI-04818,0
SD-CSI-09979,18
SD-CSI-01325,18
SD-CSI-06181,18
SD-CSI-16754,19
SD-CSI-18827,21
SD-CSI-10270,23
SD-CSI-08808,20
SD-CSI-05812,20
SD-CSI-04830,22
SD-CSI-19766,18
SD-CSI-21137,18
SD-CSI-07620,30
SD-CSI-12511,18
SD-CSI-16990,18
SD-CSI-13691,14
SD-CSI-18349,20
SD-CSI-19072,17
SD-CSI-15279,23
SD-CSI-08364,18
SD-CSI-15978,10
SD-CSI-14618,24
SD-CSI-13017,18
SD-CSI-06968,10
SD-CSI-06962,15
SD-CSI-15977,10
SD-CSI-11096,15
SD-CSI-15382,14
SD-CSI-21524,18
SD-CSI-05207,45
SD-CSI-15696,13
SD-CSI-20195,30
SD-CSI-14652,18
SD-CSI-06974,10
SD-CSI-18225,17
SD-CSI-14915,21
SD-CSI-18895,22
SD-CSI-00134,18
SD-CSI-12007,15
SD-CSI-15340,17
SD-CSI-18820,17
SD-CSI-08069,10
SD-CSI-16006,18
SD-CSI-18427,21
SD-CSI-20411,18
SD-CSI-08428,19
SD-CSI-13738,17
SD-CSI-08073,10
SD-CSI-17961,22
SD-CSI-08421,22
SD-CSI-14737,23
SD-CSI-18289,17
SD-CSI-12909,17
SD-CSI-18829,21
SD-CSI-17820,26
SD-CSI-20228,15
SD-CSI-18835,26
SD-CSI-20772,19
SD-CSI-14170,25
SD-CSI-21346,18
SD-CSI-10918,23
SD-CSI-06601,15
SD-CSI-19127,17
SD-CSI-09781,18
SD-CSI-19154,21
SD-CSI-18286,18
SD-CSI-19157,17
SD-CSI-18291,22
SD-CSI-10080,0
SD-CSI-20439,18
SD-CSI-09785,23
SD-CSI-18873,18
SD-CSI-19560,18
SD-CSI-10095,18
SD-CSI-18371,18
SD-CSI-21890,30
SD-CSI-21480,15
SD-CSI-22188,20
SD-CSI-20841,18
SD-CSI-21977,14
SD-CSI-10987,14
SD-CSI-03149,14
SD-CSI-05885,25
SD-CSI-12444,22
SD-CSI-10990,14
SD-CSI-21708,23
SD-CSI-21844,10
SD-CSI-18308,18
SD-CSI-21881,15
SD-CSI-16080,16
SD-CSI-22127,30
