,variable,value,lat,log
93,apr,6.15,37.7978,-121.0018
94,apr,5.93,38.4606,-122.6422
95,apr,6.31,36.7673,-119.765
96,apr,5.63,40.5049,-121.835
97,apr,5.98,34.1317,-117.5924
98,apr,6.3,33.2617,-117.0103
99,apr,6.37,32.8468,-116.9898
100,apr,5.83,38.8803,-120.9743
101,apr,6.41,34.1335,-118.6646
102,apr,4.93,40.7937,-124.161
103,apr,5.94,39.5586,-121.5892
104,apr,6.19,38.5922,-121.52799999999999
105,apr,6.16,37.4775,-121.1456
106,apr,6.33,36.8,-120.58
107,apr,6.12,37.4322,-120.0968
108,apr,6.08,39.0899,-121.5505
109,apr,6.06,37.6337,-122.061
110,apr,7.16,33.9523,-116.508
111,apr,5.97,39.9183,-122.2139
112,apr,6.16,33.8832,-117.7386
113,apr,6.61,32.6643,-116.4651
114,apr,6.18,36.4177,-119.0046
115,apr,6.16,38.0042,-121.3237
116,apr,6.04,39.1141,-121.6196
117,apr,6.19,38.5493,-121.7365
118,apr,6.36,32.8904,-116.6246
119,apr,6.46,33.7761,-118.1185
120,apr,6.05,37.9952,-120.3437
121,apr,6.38,33.9988,-117.447
122,apr,5.94,37.7487,-122.4155
123,apr,6.29,36.8415,-119.7983
124,apr,6.09,39.4422,-121.9522
125,apr,6.28,37.2974,-120.3229
126,apr,6.2,33.6402,-117.6911
127,apr,6.39,35.949,-119.0374
128,apr,6.06,37.317,-121.9356
129,apr,6.2,34.0889,-117.4521
130,apr,7.0,34.6987,-118.1501
131,apr,6.15,33.9783,-118.0678
132,apr,6.37,33.8933,-118.204
133,apr,6.02,36.9229,-121.7722
134,apr,6.36,32.707,-117.0542
135,apr,6.46,33.8288,-118.3832
136,apr,6.12,37.7997,-122.2121
137,apr,6.37,36.351,-119.3366
138,apr,6.45,34.6269,-120.0661
139,apr,6.36,36.6265,-119.6753
140,apr,6.32,33.122,-117.156
141,apr,6.12,38.2002,-121.2351
142,apr,6.03,39.2521,-121.6944
143,apr,6.2,38.5463,-121.6868
144,apr,7.04,34.5612,-118.0375
145,apr,6.2,37.8477,-121.6081
146,apr,6.01,37.3501,-122.036
147,apr,5.94,37.8394,-122.1243
148,apr,6.12,34.0704,-117.6994
149,apr,6.09,37.9541,-122.0251
150,apr,6.37,33.8574,-118.2563
151,apr,6.11,37.865,-122.2859
152,apr,6.31,34.4437,-119.9421
153,apr,6.32,34.3847,-118.587
154,apr,5.99,37.0577,-122.0597
155,apr,6.34,33.8672,-118.0806
156,apr,5.95,38.6412,-120.9711
157,apr,6.25,33.8882,-118.1276
158,apr,6.04,37.4365,-121.8944
159,apr,6.13,37.4835,-122.2144
160,apr,6.03,37.5704,-122.3204
161,apr,6.13,38.8323,-121.5166
162,apr,6.35,33.6965,-117.3247
163,apr,6.46,33.7593,-118.0824
164,apr,5.99,34.0636,-117.8974
165,apr,5.94,37.7723,-122.4109
166,apr,6.22,32.8564,-117.2114
167,apr,6.15,33.9336,-118.0682
168,apr,6.09,37.5922,-122.0458
169,apr,6.41,32.7623,-117.1225
170,apr,6.05,38.4805,-122.7498
171,apr,6.11,37.6785,-122.132
172,apr,5.99,37.2995,-121.7545
173,apr,6.12,37.7932,-122.2435
174,apr,6.2,33.6113,-117.6668
175,apr,6.39,32.6974,-117.12
176,apr,6.05,37.5543,-122.2703
177,apr,6.46,36.0594,-119.3203
178,apr,6.4,35.8349,-120.9809
179,apr,6.0,38.8573,-122.2149
180,apr,6.37,33.8334,-118.292
181,apr,6.15,37.79,-122.1861
182,apr,6.13,37.9548,-121.3073
183,apr,6.01,36.9806,-122.046
184,apr,6.13,37.4586,-122.2001
185,apr,6.03,39.7935,-121.8795
186,apr,6.0,37.3296,-121.8336
187,apr,6.5,33.6348,-117.8745
188,apr,6.06,38.2912,-122.2867
189,apr,6.35,33.9764,-118.4546
190,apr,6.37,32.8738,-116.9048
191,apr,6.47,35.605,-119.3714
192,apr,6.12,37.5398,-121.24700000000001
193,apr,6.02,36.6659,-121.655
194,apr,6.24,37.4002,-120.6109
195,apr,6.06,34.0006,-117.9694
196,apr,6.29,32.6425,-116.9897
197,apr,7.05,34.5596,-117.3577
198,apr,6.15,37.7034,-122.12799999999999
199,apr,6.37,33.9784,-118.2177
200,apr,6.42,34.0216,-118.3917
201,apr,6.23,34.0641,-117.3943
202,apr,6.06,37.6744,-122.0888
203,apr,5.97,38.0505,-122.6787
204,apr,6.4,34.8745,-120.4281
205,apr,6.24,33.7149,-117.7633
206,apr,6.11,37.9242,-122.516
207,apr,6.49,32.6387,-117.0669
208,apr,6.35,33.2133,-117.2147
209,apr,6.51,35.4905,-119.2649
210,apr,7.1,33.7629,-116.4225
211,apr,6.07,34.1272,-117.2007
212,apr,6.06,37.515,-121.9292
213,apr,7.13,35.5992,-117.6806
214,apr,6.37,34.4812,-118.4282
215,apr,6.03,38.6843,-121.0688
216,apr,6.22,38.4272,-121.8135
217,apr,6.47,36.0853,-119.5548
218,apr,5.94,38.1461,-120.4546
219,apr,6.3,32.9143,-117.1412
220,apr,6.01,37.4068,-122.0746
221,apr,6.47,32.5744,-117.0563
222,apr,5.42,40.8762,-121.8898
223,apr,6.33,32.7887,-116.9049
224,apr,6.39,35.3871,-118.9865
225,apr,6.41,36.6586,-119.741
226,apr,6.37,33.1954,-117.2823
227,apr,5.99,37.2951,-121.8965
228,apr,6.34,34.0511,-118.8077
229,apr,6.09,37.9989,-122.115
230,apr,6.46,33.794000000000004,-118.0722
231,apr,6.04,37.8981,-122.5413
232,apr,6.29,32.8228,-117.0984
233,apr,5.97,36.7097,-121.64
234,apr,5.78,37.6007,-122.4013
235,apr,6.01,37.3783,-122.024
236,apr,6.46,33.8712,-118.3718
237,apr,6.36,34.1014,-118.5993
238,apr,6.03,37.5749,-122.3633
239,apr,6.22,36.202,-119.0859
240,apr,5.95,34.1016,-118.0561
241,apr,6.06,34.0469,-117.9846
242,apr,6.39,33.5815,-117.7247
243,apr,6.36,32.8239,-117.1997
244,apr,6.09,37.9517,-122.0732
245,apr,6.36,32.8038,-117.1359
246,apr,6.0,37.4125,-121.9446
247,apr,6.31,33.0358,-116.8513
248,apr,6.13,38.0389,-121.2421
249,apr,6.38,34.1394,-118.3503
250,apr,5.93,38.4576,-122.6932
251,apr,6.34,34.6767,-118.4559
252,apr,6.32,34.3778,-118.5149
253,apr,5.8,38.5276,-120.6929
254,apr,5.98,34.1386,-117.6636
255,apr,6.3,32.961,-117.1251
256,apr,6.29,33.8808,-117.5407
257,apr,6.31,33.8757,-117.994
258,apr,6.05,37.5167,-122.2903
259,apr,7.09,35.0444,-117.8578
260,apr,5.61,39.437,-123.7609
261,apr,6.0,37.3735,-121.8578
262,apr,6.37,33.8906,-118.2367
263,apr,6.18,38.0049,-121.4002
264,apr,6.3,36.538000000000004,-119.3889
265,apr,6.0,38.9029,-121.29799999999999
266,apr,6.32,34.265,-118.7718
267,apr,6.72,32.6722,-116.315
268,apr,6.27,36.1419,-119.0941
269,apr,6.38,36.0154,-121.2484
270,apr,6.46,33.781,-118.19200000000001
271,apr,6.4,33.7851,-117.8457
272,apr,6.18,37.9921,-121.7133
273,apr,6.09,37.9235,-121.9117
274,apr,7.06,34.4535,-117.5339
275,apr,6.24,37.3802,-120.7261
276,apr,6.14,38.2696,-122.037
277,apr,5.99,37.2693,-121.8494
278,apr,7.04,35.2628,-116.6945
279,apr,6.4,34.0322,-118.4902
280,apr,5.95,34.1511,-118.0897
281,apr,6.46,33.8288,-118.3137
282,apr,7.04,34.5333,-117.949
283,apr,6.13,39.2833,-122.2021
284,apr,6.36,32.7618,-117.0127
285,apr,6.42,33.5277,-117.1206
286,apr,6.07,34.107,-117.2975
287,apr,5.99,37.2576,-121.8907
288,apr,6.06,37.2412,-121.9534
289,apr,6.4,33.889,-118.4053
290,apr,7.12,34.4895,-117.3532
291,apr,6.35,33.9213,-118.4084
292,apr,6.04,34.1251,-117.4582
293,apr,6.4,34.045,-118.4453
294,apr,6.39,33.6532,-117.0799
295,apr,6.14,38.8512,-121.7335
296,apr,6.41,32.7736,-117.1379
297,apr,5.93,36.6158,-121.8346
298,apr,5.87,38.9768,-121.0914
299,apr,6.15,33.9021,-118.0097
300,apr,6.24,34.4435,-119.803
301,apr,6.54,33.7514,-117.9939
302,apr,6.3,32.918,-117.0844
303,apr,6.2,33.8881,-117.8041
304,apr,6.02,38.818000000000005,-121.2631
305,apr,6.2,33.8116,-117.8292
306,apr,6.43,36.691,-119.8332
307,apr,6.11,37.8064,-122.289
308,apr,6.07,38.1171,-122.5632
309,apr,6.16,33.9453,-116.9759
310,apr,6.4,33.7191,-117.8714
311,apr,5.98,34.1017,-117.6578
312,apr,5.94,38.9562,-122.6352
313,apr,6.31,32.7182,-116.8261
314,apr,6.43,35.2005,-119.17399999999999
315,apr,5.99,37.2322,-121.7909
316,apr,6.13,34.4022,-119.5231
317,apr,7.03,35.1393,-117.9147
318,apr,6.12,34.0576,-117.6656
319,apr,6.64,33.486,-116.82
320,apr,6.09,37.9578,-121.9771
321,apr,6.41,34.9563,-120.4524
322,apr,6.22,34.4396,-119.7679
323,apr,6.39,33.5353,-117.7719
324,apr,5.98,34.1278,-117.5246
325,apr,6.06,37.2896,-121.9831
326,apr,6.22,32.9,-117.2072
327,apr,6.11,38.019,-122.5459
328,apr,6.01,33.3119,-116.965
329,apr,6.41,36.5235,-120.3843
330,apr,7.06,33.7157,-116.385
331,apr,6.44,34.9589,-120.5801
332,apr,6.46,33.7252,-118.0051
333,apr,6.29,36.8656,-119.7592
334,apr,6.22,34.0807,-117.2736
335,apr,6.11,37.9594,-120.8233
336,apr,6.39,36.2015,-119.3499
337,apr,6.01,38.5097,-123.0008
338,apr,6.06,37.2567,-121.9231
339,apr,6.11,38.9716,-122.0272
340,apr,6.5,33.6804,-117.8259
341,apr,5.94,37.8957,-122.1179
342,apr,6.32,33.0879,-117.1156
343,apr,5.96,38.6141,-122.8763
344,apr,5.61,39.2994,-120.9514
345,apr,6.17,37.9726,-122.3387
346,apr,6.18,35.3132,-120.8347
347,apr,6.13,38.0718,-122.1552
348,apr,5.81,39.1326,-121.0981
349,apr,6.19,38.344,-121.9533
350,apr,6.15,36.5182,-121.4256
351,apr,5.97,36.7541,-121.6647
352,apr,5.71,38.6077,-120.5937
353,apr,6.07,34.0652,-117.7793
354,apr,6.43,35.4875,-119.009
355,apr,6.53,37.2822,-118.3872
356,apr,6.15,37.8827,-121.2798
357,apr,6.35,33.2893,-117.2001
358,apr,6.22,34.0508,-117.2533
359,apr,6.99,34.4,-117.34
360,apr,6.44,36.3271,-119.6451
361,apr,6.2,34.047,-117.48100000000001
362,apr,7.22,34.1759,-116.2914
363,apr,5.99,37.2444,-121.8325
364,apr,6.06,33.919000000000004,-117.8325
365,apr,6.37,33.5686,-117.2526
366,apr,5.87,38.9096,-121.0797
367,apr,5.99,38.7438,-121.1901
368,apr,6.24,32.9468,-117.2192
369,apr,6.2,34.0482,-118.1416
370,apr,6.3,37.0296,-120.6401
371,apr,6.36,32.7335,-117.0337
372,apr,5.8,40.5626,-122.2255
373,apr,6.09,38.0179,-121.905
374,apr,6.11,37.87,-122.2981
375,apr,6.15,38.6972,-121.8094
376,apr,6.11,37.9878,-122.5996
377,apr,6.15,37.763000000000005,-122.163
378,apr,6.24,33.7962,-117.0005
379,apr,6.37,36.5061,-119.5459
380,apr,6.25,33.8473,-118.1134
381,apr,6.31,33.6663,-117.9693
382,apr,6.15,37.9629,-121.264
383,apr,6.24,32.7665,-117.2008
384,apr,6.39,35.3964,-118.9227
385,apr,6.07,37.6589,-121.8715
386,apr,5.94,37.7584,-122.4351
387,apr,7.04,34.5655,-118.0855
388,apr,6.21,38.6813,-121.7419
389,apr,6.36,32.805,-117.1687
390,apr,6.39,33.5319,-117.7025
391,apr,6.0,37.3496,-121.8544
392,apr,6.2,34.0347,-117.1731
393,apr,6.3,36.3047,-119.1138
394,apr,6.27,33.9888,-118.1864
395,apr,6.24,33.7396,-117.7862
396,apr,6.1,37.9555,-121.1906
397,apr,6.15,37.7223,-122.15700000000001
398,apr,6.47,36.4519,-119.9365
399,apr,6.09,38.1929,-120.9578
400,apr,6.13,37.7313,-120.9437
401,apr,6.12,38.1521,-122.2507
402,apr,6.13,37.922,-121.3025
403,apr,6.29,33.8666,-117.5917
404,apr,6.04,37.406,-121.8478
405,apr,6.37,33.9234,-118.2759
406,apr,7.24,34.1618,-116.4125
407,apr,5.99,37.0576,-122.0151
408,apr,6.05,38.4401,-122.7456
409,apr,6.32,36.8016,-119.8888
410,apr,6.15,33.989000000000004,-118.0891
411,apr,5.77,39.1549,-123.2009
412,apr,6.27,33.9584,-118.1199
413,apr,5.93,37.16,-121.9881
414,apr,6.11,39.2549,-122.0457
415,apr,6.41,32.7196,-117.1625
416,apr,6.11,37.8569,-122.2508
417,apr,6.35,36.7019,-120.428
418,apr,6.04,34.232,-118.2475
419,apr,5.8,40.5393,-122.3328
420,apr,6.36,34.2687,-119.2249
421,apr,6.29,36.8135,-119.7083
422,apr,6.25,33.8999,-118.1623
423,apr,6.4,34.0888,-118.4061
424,apr,6.24,37.3511,-120.6056
425,apr,6.02,37.7574,-121.9521
426,apr,6.22,37.5218,-120.4655
427,apr,6.39,32.6827,-117.1744
428,apr,6.07,34.1486,-117.26299999999999
429,apr,5.92,38.8175,-121.1723
430,apr,6.03,39.746,-121.8426
431,apr,6.02,37.0169,-121.5658
432,apr,6.4,33.7582,-118.3642
433,apr,5.93,37.7021,-122.0793
434,apr,6.14,33.9846,-117.0377
435,apr,6.41,35.2569,-118.9133
436,apr,6.39,34.3675,-119.0732
437,apr,6.29,32.8023,-117.0243
438,apr,6.35,36.0551,-119.016
439,apr,5.99,37.0508,-122.0569
440,apr,6.3,33.889,-117.2205
441,apr,5.92,38.8767,-121.1421
442,apr,6.37,36.311,-119.3264
443,apr,6.43,35.6406,-120.7042
444,apr,6.31,36.9148,-120.1582
445,apr,6.46,33.8403,-118.3559
446,apr,6.41,32.715,-117.1254
447,apr,6.35,33.1581,-117.3265
448,apr,6.37,32.8201,-116.9123
449,apr,5.98,39.4911,-121.4947
450,apr,6.01,37.3895,-122.0785
451,apr,6.2,36.4118,-121.3262
452,apr,6.48,35.3907,-119.1858
453,apr,6.46,33.72,-118.0461
454,apr,6.03,37.5397,-122.3027
455,apr,6.35,33.9972,-118.4014
456,apr,6.28,33.1069,-117.0708
457,apr,6.09,37.5356,-122.0336
458,apr,6.2,33.879,-117.8932
459,apr,6.1,33.9032,-117.9122
460,apr,5.88,36.5862,-121.8867
461,apr,6.12,38.1052,-122.2457
462,apr,6.09,37.9697,-122.2941
463,apr,5.77,39.7504,-121.6103
464,apr,6.39,35.0324,-120.4945
465,apr,6.36,33.979,-117.3365
466,apr,6.44,36.1774,-119.8204
467,apr,6.09,38.1628,-121.1486
468,apr,5.99,37.2559,-121.7754
469,apr,6.11,38.0991,-122.2104
470,apr,5.95,34.114000000000004,-118.0904
471,apr,6.11,37.8094,-122.2717
472,apr,6.12,34.0361,-117.6086
473,apr,5.94,38.7102,-122.95700000000001
474,apr,6.07,34.0456,-117.7531
475,apr,6.5,35.3442,-119.0222
476,apr,5.94,37.7242,-122.4796
477,apr,6.38,36.1947,-120.3087
478,apr,7.02,33.8078,-116.4647
479,apr,6.32,33.1815,-117.1114
480,apr,6.44,36.0153,-120.0077
481,apr,6.19,38.3805,-121.9919
482,apr,6.06,33.9235,-117.8956
483,apr,5.69,40.5682,-122.4152
484,apr,7.03,34.4465,-117.6341
485,apr,6.09,37.9059,-122.0586
486,apr,6.04,37.3771,-122.1241
487,apr,6.2,33.8833,-117.8545
488,apr,6.27,33.9443,-118.1949
489,apr,6.03,36.6782,-121.7972
490,apr,5.98,37.8041,-121.912
491,apr,7.12,34.5386,-117.1773
492,apr,6.17,37.7284,-121.42399999999999
493,apr,6.24,32.9618,-117.2597
494,apr,5.89,34.11,-117.7197
495,apr,6.01,37.3179,-122.0478
496,apr,6.31,33.647,-117.9151
497,apr,6.25,33.4629,-117.6241
498,apr,6.3,37.1004,-120.2786
499,apr,6.37,33.5008,-117.6587
500,apr,6.31,36.7332,-119.7847
501,apr,6.47,35.1977,-119.057
502,apr,6.43,34.2088,-118.8735
503,apr,6.27,36.506,-119.2866
504,apr,6.06,39.1597,-121.5374
505,apr,6.07,34.1417,-117.2972
506,apr,5.78,37.6259,-122.4236
507,apr,5.94,37.7793,-122.4192
508,apr,5.98,34.1046,-117.5873
509,apr,6.27,33.9728,-118.1739
510,apr,6.09,37.9843,-122.0144
511,apr,6.19,38.5692,-121.545
512,apr,7.13,34.8942,-117.0364
513,apr,6.06,37.2286,-121.984
514,apr,6.0,36.8291,-121.5285
515,apr,6.39,33.7885,-116.9513
516,apr,6.06,34.0871,-117.9697
517,apr,6.27,37.2946,-120.4747
518,apr,6.06,38.3286,-122.7104
519,apr,6.06,37.3263,-121.9178
520,apr,5.95,38.5449,-122.8079
521,apr,6.34,32.8231,-116.7386
522,apr,5.99,34.0858,-117.8869
523,apr,6.04,33.9753,-117.7231
524,apr,5.72,38.0796,-120.1687
525,apr,6.06,37.5272,-121.9679
526,apr,5.94,38.7957,-122.99700000000001
527,apr,7.14,34.4812,-116.906
528,apr,6.46,36.3121,-119.8035
529,apr,6.2,33.6855,-117.6669
530,apr,6.22,33.0531,-117.2686
531,apr,5.99,34.0184,-117.8544
532,apr,6.37,35.3783,-119.4166
533,apr,6.1,38.2771,-122.4706
534,apr,6.94,35.9456,-117.20299999999999
535,apr,6.13,38.0251,-121.2972
536,apr,7.15,33.6283,-114.6191
537,apr,6.14,37.7765,-120.8476
538,apr,6.01,37.4063,-122.0084
539,apr,6.13,37.8019,-122.4102
540,apr,5.99,34.0042,-117.8167
541,apr,6.1,34.1095,-117.3762
542,apr,5.8,37.3744,-122.213
543,apr,6.11,37.6886,-122.1542
544,apr,6.54,33.7242,-117.9062
545,apr,6.01,38.0874,-120.5807
546,apr,6.18,37.7429,-121.1255
547,apr,6.43,35.8425,-119.0148
548,apr,6.1,34.0023,-118.0356
549,apr,6.06,37.4499,-122.1275
550,apr,6.46,33.795,-118.1182
551,apr,6.36,32.5796,-117.1171
552,apr,6.13,37.9743,-121.3147
553,apr,6.4,34.027,-118.4743
554,apr,6.11,38.0632,-122.5411
555,apr,6.39,33.7354,-116.97399999999999
556,apr,6.39,33.7088,-116.9095
557,apr,6.37,33.8162,-118.215
558,apr,6.91,33.843,-116.5434
559,apr,5.82,37.6736,-119.8131
560,apr,6.27,33.9975,-118.1528
561,apr,7.15,34.0666,-116.5595
562,apr,6.37,33.8705,-118.2881
563,apr,6.54,33.7086,-117.9563
564,apr,6.38,33.6604,-117.1899
565,apr,6.02,36.6812,-121.6154
566,apr,6.48,36.2098,-120.0847
567,apr,5.81,38.7247,-120.7953
568,apr,5.95,38.5112,-122.45700000000001
569,apr,7.06,33.7594,-116.3232
570,apr,6.46,33.8663,-118.3997
571,apr,6.27,33.9038,-117.6022
572,apr,6.46,33.7829,-118.0262
573,apr,6.05,38.405,-122.7275
574,apr,6.41,34.1908,-118.837
575,apr,6.31,33.6772,-117.9086
576,apr,6.24,34.2849,-118.4382
577,apr,6.11,37.8796,-122.2668
578,apr,6.36,32.7413,-117.0951
579,apr,6.4,33.7621,-117.8183
580,apr,5.73,39.2027,-121.0208
581,apr,6.07,37.6897,-121.8924
582,apr,6.29,32.6626,-116.9541
583,apr,5.68,39.4517,-123.3728
584,apr,6.37,33.1796,-117.2446
585,apr,6.5,35.3814,-119.0194
586,apr,6.54,33.763000000000005,-117.9355
587,apr,6.35,33.9259,-117.5598
588,apr,6.03,37.1376,-121.6621
589,apr,6.06,37.6977,-122.025
590,apr,6.07,34.1051,-117.2908
591,apr,6.31,33.8691,-117.9299
592,apr,6.4,33.747,-117.8625
593,apr,6.42,33.2025,-117.3608
594,apr,7.02,35.0307,-117.6726
595,apr,6.45,35.3055,-119.3893
596,apr,6.1,34.0891,-118.0951
597,apr,5.96,39.0517,-122.9207
598,apr,6.11,37.8347,-122.2832
599,apr,5.78,37.6529,-122.4301
600,apr,6.19,37.312,-121.0314
601,apr,6.42,34.2788,-119.1678
602,apr,6.24,38.3834,-121.5782
603,apr,6.39,34.4788,-118.6526
604,apr,6.2,34.0633,-117.1689
605,apr,6.25,33.852,-118.1468
606,apr,6.54,33.7471,-117.9043
607,apr,5.99,37.284,-121.8266
608,apr,6.15,37.9587,-121.288
609,apr,6.12,34.016,-117.6874
610,apr,6.05,37.7328,-122.3935
611,apr,5.94,37.7861,-122.4374
612,apr,6.36,35.2625,-120.652
613,apr,6.94,35.0453,-118.1614
614,apr,6.37,34.175,-118.9396
615,apr,6.14,36.1334,-121.63799999999999
616,apr,5.92,34.1377,-117.9657
617,apr,6.45,34.8514,-118.8799
618,apr,6.34,33.8683,-118.0675
619,apr,6.41,32.746,-117.1672
620,apr,6.24,32.7259,-117.2308
621,apr,6.37,34.1669,-119.1611
622,apr,5.77,39.0268,-123.3862
623,apr,6.46,36.5346,-119.8359
624,apr,6.06,33.985,-117.897
625,apr,6.08,39.415,-122.0249
626,apr,6.48,33.4953,-117.0766
627,apr,6.1,34.0766,-118.0394
628,apr,6.44,35.8737,-119.2636
629,apr,6.19,38.1326,-121.3228
630,apr,5.98,40.0393,-122.1655
631,apr,6.13,39.1395,-122.2056
632,apr,6.36,36.3006,-119.2055
633,apr,6.12,37.7768,-122.2179
634,apr,6.09,37.9863,-122.0399
635,apr,6.07,38.3933,-122.8367
636,apr,5.78,37.6138,-122.4823
637,apr,6.14,38.2314,-122.0541
638,apr,5.95,38.3598,-120.7532
639,apr,6.1,33.9345,-117.9516
640,apr,6.06,34.0296,-117.9398
641,apr,6.11,37.8271,-122.2229
642,apr,5.84,37.1518,-122.1368
643,apr,6.45,33.9146,-118.3509
644,apr,6.11,38.0051,-122.2578
645,apr,6.1,34.0505,-118.0483
646,apr,5.94,37.7982,-122.4003
647,apr,6.09,37.9188,-122.0262
648,apr,6.15,37.7384,-122.1733
649,apr,6.23,33.7841,-117.2981
650,apr,6.32,36.8317,-119.83200000000001
651,apr,6.12,34.0773,-117.6222
652,apr,6.34,33.8493,-118.0439
653,apr,6.42,33.6876,-117.7885
654,apr,6.33,32.7211,-116.9961
655,apr,5.94,37.7928,-122.4219
656,apr,6.42,33.6028,-117.713
657,apr,7.03,34.6417,-117.508
658,apr,6.1,34.0661,-118.0847
659,apr,6.36,36.3589,-119.2403
660,apr,6.42,34.2171,-119.1769
661,apr,6.33,33.3804,-117.2061
662,apr,6.06,37.3077,-121.9998
663,apr,5.94,38.5979,-122.6095
664,apr,6.11,37.8349,-122.264
665,apr,6.2,33.6155,-117.6409
666,apr,6.39,37.6216,-118.8628
667,apr,5.97,39.6243,-121.7915
668,apr,5.99,40.0414,-122.0979
669,apr,5.77,38.7481,-120.6746
670,apr,6.28,33.1427,-117.0305
671,apr,6.17,34.0336,-117.0378
672,apr,6.37,34.2318,-119.0526
673,apr,6.06,34.0681,-117.9383
674,apr,6.04,39.1093,-121.6803
675,apr,6.43,34.4065,-118.5621
676,apr,6.21,37.1875,-121.0323
677,apr,6.24,33.7367,-117.0217
678,apr,6.1,38.2437,-122.6934
679,apr,6.06,34.0977,-117.90700000000001
680,apr,6.38,35.2772,-120.7031
681,apr,6.41,32.7429,-117.1277
682,apr,5.87,39.9573,-120.9837
683,apr,6.17,37.9414,-122.3663
684,apr,6.08,39.3522,-121.7113
685,apr,6.4,34.9008,-120.3488
686,apr,6.43,34.4453,-118.5525
687,apr,6.44,35.6707,-119.2134
688,apr,6.25,33.4271,-117.61399999999999
689,apr,6.22,34.4032,-119.7207
690,apr,6.07,34.0801,-117.7386
691,apr,6.2,33.64,-117.6035
692,apr,6.1,38.2433,-122.6069
693,apr,6.27,33.9202,-118.1429
694,apr,6.18,35.373000000000005,-120.8384
695,apr,6.0,37.3863,-121.8899
696,apr,6.25,33.4795,-117.2093
697,apr,6.22,33.0978,-117.2674
698,apr,6.5,33.6508,-117.8177
699,apr,5.6,39.3119,-123.7917
